,wahlbezirk,wahlkreis,bezirk,bezirkname,ost_west,waehler_be,waehler,ungueltig,gueltig,cdu_p,spd_p,linke_p,gruene_p,afd_p,piraten_p,fdp_p
19,1119,101,1,Mitte,O,896,509,3,506,0.17193675889328064,0.1324110671936759,0.199604743083004,0.308300395256917,0.03754940711462449,0.003952569169960474,0.08893280632411067
20,1120,101,1,Mitte,O,1091,544,4,540,0.1574074074074074,0.1148148148148148,0.2037037037037037,0.2740740740740741,0.08518518518518517,0.005555555555555557,0.10925925925925926
21,1121,101,1,Mitte,O,1124,562,3,559,0.18425760286225404,0.15742397137745975,0.18962432915921287,0.2415026833631485,0.05903398926654741,0.0,0.11627906976744184
22,1122,101,1,Mitte,O,1234,643,3,640,0.184375,0.125,0.2109375,0.28125,0.0359375,0.003125,0.1125
23,1123,101,1,Mitte,O,1035,524,0,524,0.20038167938931295,0.11259541984732825,0.15267175572519084,0.2900763358778626,0.049618320610687015,0.0038167938931297713,0.1316793893129771
24,1200,102,1,Mitte,O,902,454,6,448,0.21205357142857145,0.13392857142857142,0.2455357142857143,0.07366071428571429,0.14732142857142858,0.008928571428571428,0.13169642857142858
25,1201,102,1,Mitte,O,1142,547,5,542,0.23800738007380076,0.16051660516605165,0.2047970479704797,0.08487084870848709,0.13653136531365315,0.011070110701107009,0.12730627306273062
26,1202,102,1,Mitte,O,1159,474,7,467,0.2226980728051392,0.13704496788008566,0.21413276231263384,0.0835117773019272,0.15417558886509636,0.002141327623126339,0.13062098501070665
27,1203,102,1,Mitte,O,1081,397,4,393,0.1959287531806616,0.18320610687022898,0.31297709923664124,0.08396946564885496,0.11704834605597965,0.0,0.055979643765903316
28,1204,102,1,Mitte,O,1971,849,4,845,0.2378698224852071,0.1621301775147929,0.1822485207100592,0.08875739644970414,0.11597633136094675,0.0047337278106508885,0.1621301775147929
29,1205,102,1,Mitte,O,1244,568,9,559,0.1932021466905188,0.1771019677996422,0.26833631484794274,0.08586762075134168,0.13237924865831846,0.005366726296958855,0.07513416815742398
30,1206,102,1,Mitte,O,1365,572,2,570,0.18947368421052632,0.13157894736842105,0.2929824561403509,0.09824561403508772,0.13333333333333333,0.010526315789473684,0.08596491228070176
31,1207,102,1,Mitte,O,1149,535,6,529,0.16824196597353494,0.16824196597353494,0.34026465028355385,0.0831758034026465,0.11720226843100187,0.0,0.058601134215500936
32,1208,102,1,Mitte,O,915,436,4,432,0.2152777777777778,0.14814814814814814,0.1527777777777778,0.28703703703703703,0.03935185185185185,0.0046296296296296285,0.10648148148148147
33,1209,102,1,Mitte,O,1255,650,6,644,0.1816770186335404,0.15993788819875776,0.2391304347826087,0.2204968944099379,0.06521739130434782,0.0,0.08850931677018634
34,1210,102,1,Mitte,O,1156,588,4,584,0.18835616438356165,0.14383561643835616,0.2054794520547945,0.2071917808219178,0.07363013698630137,0.008561643835616438,0.11472602739726027
35,1211,102,1,Mitte,O,898,468,2,466,0.1459227467811159,0.13733905579399142,0.2703862660944206,0.1931330472103004,0.11158798283261803,0.004291845493562232,0.06652360515021459
36,1212,102,1,Mitte,O,882,481,3,478,0.16736401673640167,0.13389121338912133,0.18828451882845187,0.2217573221757322,0.07322175732217573,0.0062761506276150635,0.13598326359832635
37,1213,102,1,Mitte,O,651,300,3,297,0.15151515151515152,0.1750841750841751,0.2525252525252525,0.13804713804713806,0.09427609427609428,0.006734006734006735,0.101010101010101
38,1214,102,1,Mitte,O,840,357,5,352,0.15625,0.11931818181818182,0.3352272727272727,0.09090909090909093,0.1278409090909091,0.002840909090909091,0.08806818181818182
39,1215,102,1,Mitte,O,1018,529,8,521,0.19769673704414584,0.15355086372360846,0.3435700575815739,0.0690978886756238,0.15547024952015354,0.003838771593090211,0.04030710172744722
40,1216,102,1,Mitte,O,953,493,6,487,0.162217659137577,0.1540041067761807,0.35728952772073924,0.06776180698151951,0.15811088295687886,0.008213552361396304,0.04928131416837783
41,1217,102,1,Mitte,O,1076,451,2,449,0.1603563474387528,0.1714922048997773,0.4008908685968819,0.0534521158129176,0.1247216035634744,0.0066815144766147,0.028953229398663693
42,1218,102,1,Mitte,O,1530,803,17,786,0.1946564885496183,0.1475826972010178,0.3244274809160305,0.06615776081424936,0.16539440203562342,0.005089058524173028,0.04452926208651401
43,1219,102,1,Mitte,O,342,172,0,172,0.14534883720930233,0.13953488372093026,0.3313953488372093,0.05813953488372092,0.12209302325581395,0.005813953488372093,0.12209302325581395
44,1220,102,1,Mitte,O,796,346,2,344,0.1482558139534884,0.10755813953488373,0.3982558139534884,0.08139534883720931,0.1511627906976744,0.0,0.07267441860465118
45,1221,102,1,Mitte,O,1519,725,6,719,0.2086230876216968,0.16689847009735745,0.17246175243393602,0.12517385257301808,0.10848400556328233,0.004172461752433936,0.14881780250347704
46,1222,102,1,Mitte,O,905,434,5,429,0.1561771561771562,0.11655011655011654,0.3962703962703963,0.07925407925407925,0.11421911421911422,0.006993006993006993,0.060606060606060615
47,1223,102,1,Mitte,O,1508,775,13,762,0.1679790026246719,0.17454068241469814,0.3359580052493438,0.1325459317585302,0.09973753280839896,0.0013123359580052493,0.05118110236220472
48,1224,102,1,Mitte,O,838,402,5,397,0.17632241813602015,0.1486146095717884,0.3702770780856423,0.08060453400503778,0.11083123425692697,0.010075566750629723,0.04282115869017632
49,1225,102,1,Mitte,O,1380,683,6,677,0.16986706056129985,0.1447562776957164,0.3397341211225997,0.08124076809453472,0.1255539143279173,0.004431314623338257,0.06794682422451995
50,1226,102,1,Mitte,O,764,407,7,400,0.155,0.12,0.4125,0.055,0.1725,0.01,0.0225
51,1227,102,1,Mitte,O,1369,726,1,725,0.1393103448275862,0.12827586206896552,0.3006896551724138,0.22344827586206895,0.07724137931034482,0.011034482758620687,0.04689655172413793
52,1228,102,1,Mitte,O,2319,1100,13,1087,0.19779208831646733,0.1922723091076357,0.19319227230910765,0.21067157313707446,0.07083716651333946,0.0009199632014719412,0.08647654093836246
53,1300,103,1,Mitte,W,1311,613,7,606,0.15841584158415842,0.18976897689768976,0.2326732673267327,0.15841584158415842,0.06930693069306931,0.0099009900990099,0.07920792079207921
54,1301,103,1,Mitte,W,880,454,7,447,0.1476510067114094,0.145413870246085,0.28635346756152125,0.18344519015659955,0.07606263982102908,0.008948545861297539,0.06263982102908278
55,1302,103,1,Mitte,W,1192,577,17,560,0.15178571428571427,0.20535714285714285,0.2375,0.18392857142857144,0.08392857142857142,0.005357142857142857,0.075
56,1303,103,1,Mitte,W,895,427,9,418,0.16028708133971292,0.2464114832535885,0.2129186602870813,0.1674641148325359,0.09090909090909093,0.0215311004784689,0.03827751196172249
57,1304,103,1,Mitte,W,948,530,11,519,0.15221579961464354,0.2003853564547206,0.16955684007707128,0.2292870905587669,0.08285163776493258,0.009633911368015412,0.0905587668593449
58,1305,103,1,Mitte,W,1054,564,10,554,0.1931407942238267,0.17328519855595667,0.14981949458483754,0.2346570397111913,0.092057761732852,0.0036101083032490976,0.09386281588447654
59,1306,103,1,Mitte,W,1373,714,5,709,0.11988716502115655,0.1861777150916784,0.227080394922426,0.2679830747531735,0.06488011283497884,0.012693935119887164,0.06346967559943582
60,1307,103,1,Mitte,W,1147,660,9,651,0.21658986175115208,0.2227342549923195,0.1336405529953917,0.17665130568356374,0.09984639016897083,0.006144393241167436,0.10138248847926268
61,1308,103,1,Mitte,W,1160,637,3,634,0.1608832807570978,0.20189274447949526,0.1971608832807571,0.2365930599369085,0.05993690851735016,0.0015772870662460567,0.08832807570977919
62,1309,103,1,Mitte,W,1284,734,5,729,0.1755829903978052,0.20987654320987653,0.1934156378600823,0.23319615912208505,0.06035665294924554,0.0,0.07270233196159122
63,1310,103,1,Mitte,W,907,489,8,481,0.18295218295218296,0.20582120582120586,0.1787941787941788,0.22453222453222452,0.05197505197505198,0.004158004158004158,0.08523908523908524
64,1311,103,1,Mitte,W,1054,482,3,479,0.162839248434238,0.18789144050104384,0.16701461377870566,0.25052192066805845,0.07515657620041752,0.0020876826722338203,0.10647181628392484
65,1312,103,1,Mitte,W,795,380,1,379,0.14775725593667546,0.18733509234828494,0.2295514511873351,0.2348284960422164,0.06860158311345646,0.0079155672823219,0.0712401055408971
